codPostalOcurrencia,año,mes,cant_codpostal
0,2022.0,1,208
0,2022.0,2,185
0,2022.0,3,289
0,2022.0,4,177
0,2022.0,5,177
0,2022.0,6,61
0,2022.0,7,33
0,2022.0,8,124
0,2022.0,9,155
0,2022.0,10,127
0,2022.0,11,122
0,2022.0,12,89
0,2023.0,1,90
0,2023.0,2,98
0,2023.0,3,167
0,2023.0,4,45
0.0,2022.0,3,1
0.0,2022.0,5,4
0.0,2022.0,6,142
0.0,2022.0,7,132
0.0,2022.0,8,20
0.0,2022.0,9,1
0.0,2022.0,10,1
0.0,2022.0,11,5
0.0,2022.0,12,1
0.0,2023.0,1,2
0.0,2023.0,2,2
0.0,2023.0,3,2
0.0,2023.0,4,2
00000000,2022.0,11,1
00005000,2022.0,3,1
00327000,2022.0,8,1
00900000,2023.0,3,1
01000000,2022.0,1,19
01000000,2022.0,2,26
01000000,2022.0,3,32
01000000,2022.0,4,33
01000000,2022.0,5,44
01000000,2022.0,6,38
01000000,2022.0,7,36
01000000,2022.0,8,44
01000000,2022.0,9,33
01000000,2022.0,10,47
01000000,2022.0,11,58
01000000,2022.0,12,42
01000000,2023.0,1,35
01000000,2023.0,2,44
01000000,2023.0,3,50
01000000,2023.0,4,39
01001000,2022.0,1,172
01001000,2022.0,2,32
01001000,2022.0,3,14
01001000,2022.0,4,17
01001000,2022.0,5,21
01001000,2022.0,6,26
01001000,2022.0,7,29
01001000,2022.0,8,36
01001000,2022.0,9,37
01001000,2022.0,10,45
01001000,2022.0,11,40
01001000,2022.0,12,29
01001000,2023.0,1,24
01001000,2023.0,2,29
01001000,2023.0,3,43
01001000,2023.0,4,23
01002000,2022.0,1,20
01002000,2022.0,2,9
01002000,2022.0,3,11
01002000,2022.0,4,12
01002000,2022.0,5,26
01002000,2022.0,6,10
01002000,2022.0,7,18
01002000,2022.0,8,14
01002000,2022.0,9,13
01002000,2022.0,10,16
01002000,2022.0,11,12
01002000,2022.0,12,23
01002000,2023.0,1,18
01002000,2023.0,2,17
01002000,2023.0,3,31
01002000,2023.0,4,5
01003000,2022.0,1,7
01003000,2022.0,2,3
01003000,2022.0,3,9
01003000,2022.0,4,5
01003000,2022.0,5,8
01003000,2022.0,6,11
01003000,2022.0,7,4
01003000,2022.0,8,5
01003000,2022.0,9,6
01003000,2022.0,10,5
01003000,2022.0,11,10
01003000,2022.0,12,7
01003000,2023.0,1,7
01003000,2023.0,2,4
01003000,2023.0,3,6
01003000,2023.0,4,4
01004000,2022.0,1,5
01004000,2022.0,2,3
01004000,2022.0,3,2
01004000,2022.0,4,3
01004000,2022.0,5,5
01004000,2022.0,6,3
01004000,2022.0,8,7
01004000,2022.0,9,2
01004000,2022.0,10,5
01004000,2022.0,11,5
01004000,2022.0,12,9
01004000,2023.0,1,7
01004000,2023.0,2,7
01004000,2023.0,3,6
01004000,2023.0,4,5
01005000,2022.0,1,7
01005000,2022.0,2,4
01005000,2022.0,3,7
01005000,2022.0,4,4
01005000,2022.0,5,6
01005000,2022.0,6,9
01005000,2022.0,7,11
01005000,2022.0,8,8
01005000,2022.0,9,12
01005000,2022.0,10,8
01005000,2022.0,11,6
01005000,2022.0,12,6
01005000,2023.0,1,5
01005000,2023.0,2,7
01005000,2023.0,3,4
01005000,2023.0,4,2
01006000,2022.0,1,21
01006000,2022.0,2,6
01006000,2022.0,3,4
01006000,2022.0,4,6
01006000,2022.0,5,9
01006000,2022.0,6,4
01006000,2022.0,7,5
01006000,2022.0,8,5
01006000,2022.0,9,6
01006000,2022.0,10,13
01006000,2022.0,11,4
